,dataset,template_count,bin_count,top1,top2,top3,mean,std,min
0,HDFS,14,12,2,2,1,1.1666666666666667,0.3726779962499649,1
1,Hadoop,114,48,17,9,8,2.375,2.8403711611923774,1
2,Spark,36,20,6,5,3,1.8,1.4000000000000001,1
3,Zookeeper,50,30,6,6,3,1.6666666666666667,1.2736648783028532,1
4,BGL,120,62,13,10,6,1.935483870967742,2.146797823480624,1
5,HPC,46,19,9,8,4,2.4210526315789473,2.324147596402065,1
6,Thunderbird,149,56,26,14,13,2.6607142857142856,4.145896360577899,1
7,Windows,50,30,4,4,4,1.6666666666666667,1.0110500592068734,1
8,Linux,118,48,20,13,9,2.4583333333333335,3.439708886260903,1
9,Andriod,166,80,24,8,7,2.075,2.871301969490496,1
10,HealthApp,75,30,8,7,6,2.5,1.746424919657298,1
11,OpenSSH,27,19,5,2,2,1.4210526315789473,0.9355994123490093,1
12,Mac,341,157,22,18,17,2.171974522292994,3.0225866173235634,1
