dataset,template_count,bin_count,min,top1,top2,top3,mean,medium,std
Android,166,58,1,23,10,8,2.8620689655172415,2,3.3085483631202712
Apache,6,5,1,2,1,1,1.2,1,0.4
BGL,120,38,1,15,14,9,3.1578947368421053,2,3.3601873051604985
Hadoop,114,29,1,19,15,11,3.9310344827586206,2,4.682550399108401
HDFS,14,13,1,2,1,1,1.0769230769230769,1,0.2664693550105965
HealthApp,75,29,1,11,5,5,2.586206896551724,2,1.9742696839033982
HPC,46,17,1,9,6,5,2.7058823529411766,2,2.2166404331078553
Linux,118,28,1,21,15,15,4.214285714285714,2,5.052277724361718
Mac,341,94,1,22,20,20,3.627659574468085,1,5.025433277717585
OpenSSH,27,19,1,4,2,2,1.4210526315789473,1,0.7480352843974681
OpenStack,43,16,1,6,6,5,2.6875,2,1.6851835953390955
Proxifier,8,6,1,2,2,1,1.3333333333333333,1,0.4714045207910317
Spark,36,14,1,15,5,3,2.5714285714285716,1,3.619674131234265
Thunderbird,149,34,1,23,15,15,4.382352941176471,1,5.412483967547797
Windows,50,25,1,8,5,5,2.0,1,1.7888543819998317
Zookeeper,50,22,1,7,6,6,2.272727272727273,2,1.8385225832869712
