,dataset,eventId,template,content
0,HDFS,E4,BLOCK* ask <*>:<*> to delete  blk_<*>,"['BLOCK*', 'ask', '10.250.17.177:50010', 'to', 'delete', 'blk_-8570780307468499817', 'blk_-9122557405432088649', 'blk_-4393063808227796056', 'blk_8767569714374844347', 'blk_7079754042611867581', 'blk_7608961006114219538', 'blk_-5017273584996436939', 'blk_-6537833125980536955', 'blk_7610838808763810123', 'blk_3300803097775546532', 'blk_-5120750586032922592', 'blk_1577274266662884430', 'blk_765879159867598347', 'blk_-9076085976403711202', 'blk_-3198963348573340497', 'blk_-4645750029177277209', 'blk_-5136142986912961316', 'blk_5677959846373741243', 'blk_2107477892986152528', 'blk_-4235116161537008844', 'blk_6082535783543982566', 'blk_-4809870147222033236', 'blk_8818706925296961012', 'blk_-5203577173046267127', 'blk_189089569009261656', 'blk_446299976487589160', 'blk_-3916247521166632303', 'blk_-3324962406687427922', 'blk_-1807424528783081572', 'blk_-6858401049333055963', 'blk_6036564204960295926', 'blk_-8140723044408248078', 'blk_-3800132731140204959', 'blk_1716344083117307767', 'blk_-5194808114606613364', 'blk_-5473871016976323232', 'blk_2920934363167004552', 'blk_8736689095894369097', 'blk_-7642734632751940776', 'blk_3408482260833769309', 'blk_118013751374560901', 'blk_7963891081239759520', 'blk_3813114133944383323', 'blk_3042818489384932576', 'blk_-4570173726231458270', 'blk_-1564644006975920581', 'blk_338095650783321996', 'blk_3150135312641203550', 'blk_4285859645577726288', 'blk_3438772130782939627', 'blk_2634772258588877972', 'blk_-6795664812575964130', 'blk_3923069610304693233', 'blk_-1782996202120067721', 'blk_2004418049430157212', 'blk_1932147224007687756', 'blk_-582901062969027153', 'blk_5072240701440032119', 'blk_-7919006477393039068', 'blk_-7318022361288598312', 'blk_-6974693594143537436', 'blk_-5435767047126325206', 'blk_-5805500288959332434', 'blk_-7109885589081848850', 'blk_2161580591957523893', 'blk_7240227881194993860', 'blk_-8298405680648445349', 'blk_-4253026248821272215', 'blk_8377661448601579317', 'blk_8029153852899017155', 'blk_-8754388319080705916', 'blk_-7844092300527332901', 'blk_710178463364063355', 'blk_-5136849989188547884', 'blk_8393887138377503163', 'blk_-6950176077776664217', 'blk_-6488701068659548195', 'blk_2537458728254532453', 'blk_364441107933628577', 'blk_6207861897580168557', 'blk_8814943807366894581', 'blk_-4150682644311695471', 'blk_9174833667156726933', 'blk_649427218152856001', 'blk_-7403541028238011236', 'blk_-334982586592048773', 'blk_61908781908925992', 'blk_6385574357371832424', 'blk_-66376131060945541', 'blk_1372596948297458670', 'blk_-3389135155401857220', 'blk_-6035411221441929663', 'blk_-5127580069634421247', 'blk_-5685246533892022418', 'blk_4977937528993040451', 'blk_5680538862600094527', 'blk_-8378747462487962732', 'blk_425101290285860876', 'blk_6306622708327890839', 'blk_-1067866602168873257']"
1,HDFS,E4,BLOCK* ask <*>:<*> to delete  blk_<*>,"['BLOCK*', 'ask', '10.250.10.213:50010', 'to', 'delete', 'blk_4029139044660806713', 'blk_-5471189807977280544', 'blk_6708643067868168687', 'blk_-500678958150296008', 'blk_-8597840983621849778', 'blk_-3610057702150392748', 'blk_-1709606535283888232', 'blk_-4154362211643572668', 'blk_-8892080524136798472', 'blk_5356427838869009345', 'blk_-6987238639050161133', 'blk_-5215128860160823363', 'blk_7186692462976470823', 'blk_-6538449588297475521', 'blk_-2165930080589343952', 'blk_-5524899010031625427', 'blk_6384439316405471171', 'blk_-2965258329365213675', 'blk_118950937507976810', 'blk_-1717088081766373300', 'blk_-3911466865418055820', 'blk_1237334407720045724', 'blk_-760015977981369567', 'blk_-6802007379650646616', 'blk_-7667535133893574689', 'blk_6865645438678864855', 'blk_4633996820313194570', 'blk_7225301266481603731', 'blk_-4930257130609958866', 'blk_-4124845864570823487', 'blk_4927011145115127531', 'blk_7234346856930822716', 'blk_7159969052744592746', 'blk_1296823600557793869', 'blk_2209319141644287774', 'blk_-622218131799806364', 'blk_-8154516246083521409', 'blk_4466433199471909449', 'blk_8406894133999850666', 'blk_991075908349619367', 'blk_-2081474832657208733', 'blk_-5573393775847919985', 'blk_2004177185950968695', 'blk_4041319486058127641', 'blk_6449230045010995668', 'blk_5978265573904271474', 'blk_-4813738732036414715', 'blk_4389340532803855247', 'blk_-857151863616763327', 'blk_-7200136644339435027', 'blk_-1454962873426270839', 'blk_-5012294311590635938', 'blk_7112727670634942639', 'blk_3335012758760643328', 'blk_3382627815322561484', 'blk_825124020036421636', 'blk_-8040559034239258688', 'blk_-5415591001139074826', 'blk_-1052513063506891954', 'blk_-1155882018729560343', 'blk_-5679835604685169040', 'blk_-4498808851217768984', 'blk_8345415947062862337', 'blk_8521655806854586696', 'blk_7602939593939794410', 'blk_-4833650023923869528', 'blk_7237730029042141635', 'blk_2860897425785746911', 'blk_-1937193099911148343', 'blk_5740615689780260922', 'blk_963252337613423037', 'blk_5537011318013544619', 'blk_2626057344048606017', 'blk_8296499240199635880', 'blk_7211071078501521087', 'blk_8823112510768971040', 'blk_-3366974935992288326', 'blk_-2947778702643296262', 'blk_7693891282153136044', 'blk_4644812717442758529', 'blk_-5724970555730638200', 'blk_-3039294462945223064', 'blk_-1729755380346651221', 'blk_-6448673813272428418', 'blk_-7724282460846954976', 'blk_2698691234887375588', 'blk_-4043525878322523713', 'blk_-5195120009388265', 'blk_8879208244602324204', 'blk_-5784376901556131897', 'blk_-5201149273969117873', 'blk_5253889604362640423', 'blk_7067050654303940677', 'blk_8992626816092659826', 'blk_-488462739843441981', 'blk_8543991617360374935', 'blk_1943146154560599630', 'blk_-9194660123773136535', 'blk_3351984198891394382', 'blk_-6759123807563555545']"
2,HDFS,E4,BLOCK* ask <*>:<*> to delete  blk_<*>,"['BLOCK*', 'ask', '10.251.126.5:50010', 'to', 'delete', 'blk_-9016567407076718172', 'blk_-8695715290502978219', 'blk_-7168328752988473716', 'blk_-4355192005224403537', 'blk_-3757501769775889193', 'blk_-154600013573668394', 'blk_167132135416677587', 'blk_2654596473569751784', 'blk_5202581916713319258']"
3,Zookeeper,E44,Server environment:<*>,"['Server', 'environment:java.vendor=Oracle', 'Corporation']"
4,Zookeeper,E44,Server environment:<*>,"['Server', 'environment:zookeeper.version=3.4.5--1,', 'built', 'on', '06/10/2013', '17:26', 'GMT']"
5,Zookeeper,E44,Server environment:<*>,"['Server', 'environment:user.name=zookeeper']"
6,Zookeeper,E44,Server environment:<*>,"['Server', 'environment:os.name=Linux']"
7,Zookeeper,E44,Server environment:<*>,"['Server', 'environment:java.vendor=Oracle', 'Corporation']"
8,Zookeeper,E44,Server environment:<*>,"['Server', 'environment:java.class.path=/etc/zookeeper/conf:/usr/share/java/jline.jar:/usr/share/java/log4j-1.2.jar:/usr/share/java/xercesImpl.jar:/usr/share/java/xmlParserAPIs.jar:/usr/share/java/netty.jar:/usr/share/java/slf4j-api.jar:/usr/share/java/slf4j-log4j12.jar:/usr/share/java/zookeeper.jar']"
9,Zookeeper,E44,Server environment:<*>,"['Server', 'environment:os.name=Linux']"
10,Zookeeper,E44,Server environment:<*>,"['Server', 'environment:user.name=zookeeper']"
11,Zookeeper,E44,Server environment:<*>,"['Server', 'environment:java.home=/usr/lib/jvm/java-7-openjdk-amd64/jre']"
12,HPC,E43,Targeting domains:node-D<*>and nodes:node-<*>,"['Targeting', 'domains:node-D0', 'and', 'nodes:node-0']"
13,HPC,E43,Targeting domains:node-D<*>and nodes:node-<*>,"['Targeting', 'domains:node-D[0\\', '5]', 'and', 'nodes:node-[27\\', '191]']"
14,HPC,E43,Targeting domains:node-D<*>and nodes:node-<*>,"['Targeting', 'domains:node-D2', 'and', 'nodes:node-84']"
15,HPC,E20,inconsistent nodesets node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok><*>,"['inconsistent', 'nodesets', 'node-1', '0x000001fc', '<ok>', 'node-2', '0x000001fc', '<ok>', 'node-7', '0x000001fc', '<ok>', 'node-4', '0x000001fc', '<ok>', 'node-6', '0x000001fc', '<ok>', 'node-5', '0x000001fc', '<ok>', 'node-3', '0x000001fc', '<ok>', 'node-14', '0x0003fdfc', '<ok>', 'node-13', '0x0003fdfc', '<ok>', 'node-12', '0x0003fdfc', '<ok>', 'node-10', '0x0003fdfc', '<ok>', 'node-16', '0x0003fdfc', '<ok>', 'node-15', '0x0003fdfc', '<ok>']"
16,HPC,E20,inconsistent nodesets node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok><*>,"['inconsistent', 'nodesets', 'node-31', '0x1fffffffe', '<ok>', 'node-0', '0xfffffffe', '<ok>', 'node-1', '0xfffffffe', '<ok>', 'node-2', '0xfffffffe', '<ok>', 'node-30', '0xfffffffe', '<ok>']"
17,Thunderbird,E146,Warning: we failed to resolve data source name <*>,"['Warning:', 'we', 'failed', 'to', 'resolve', 'data', 'source', 'name', 'dadmin2', 'dadmin3', 'dadmin4']"
18,Thunderbird,E111,RRD_update (/var/lib/ganglia/rrds/<*>.rrd): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),"['RRD_update', '(/var/lib/ganglia/rrds/unspecified/badmin3/disk_total.rrd):', 'illegal', 'attempt', 'to', 'update', 'using', 'time', '1131559854', 'when', 'last', 'update', 'time', 'is', '1131559854', '(minimum', 'one', 'second', 'step)']"
19,Thunderbird,E146,Warning: we failed to resolve data source name <*>,"['Warning:', 'we', 'failed', 'to', 'resolve', 'data', 'source', 'name', 'bn782', 'bn783', 'bn784', 'bn785', 'bn786', 'bn787', 'bn788', 'bn789', 'bn790', 'bn791', 'bn792', 'bn793', 'bn794', 'bn795', 'bn796', 'bn797', 'bn798', 'bn799', 'bn800', 'bn801', 'bn802', 'bn803', 'bn804', 'bn805', 'bn806', 'bn807', 'bn808', 'bn809', 'bn810', 'bn811', 'bn812', 'bn813', 'bn814', 'bn815', 'bn816', 'bn817', 'bn818', 'bn819', 'bn820', 'bn821', 'bn822', 'bn823', 'bn824', 'bn825', 'bn826', 'bn827', 'bn828', 'bn829', 'bn830', 'bn831', 'bn832', 'bn833', 'bn834', 'bn835', 'bn836', 'bn837', 'bn838', 'bn839', 'bn840', 'bn841', 'bn842', 'bn843', 'bn844', 'bn845', 'bn846', 'bn847', 'bn848', 'bn849', 'bn850', 'bn851', 'bn852', 'bn853', 'bn854', 'bn855', 'bn856', 'bn857', 'bn858', 'bn859', 'bn860', 'bn861', 'bn862', 'bn863', 'bn864', 'bn865', 'bn866', 'bn867', 'bn868', 'bn869', 'bn870', 'bn871', 'bn872', 'bn873', 'bn874', 'bn875', 'bn876', 'bn877', 'bn878', 'bn879', 'bn880', 'bn881', 'bn882', 'bn883', 'bn884', 'bn885', 'bn886', 'bn887', 'bn888', 'bn889', 'bn890', 'bn891', 'bn892', 'bn893', 'bn894', 'bn895', 'bn896']"
20,Thunderbird,E146,Warning: we failed to resolve data source name <*>,"['Warning:', 'we', 'failed', 'to', 'resolve', 'data', 'source', 'name', 'bn910', 'bn911', 'bn912', 'bn913', 'bn914', 'bn915', 'bn916', 'bn917', 'bn918', 'bn919', 'bn920', 'bn921', 'bn922', 'bn923', 'bn924', 'bn925', 'bn926', 'bn927', 'bn928', 'bn929', 'bn930', 'bn931', 'bn932', 'bn933', 'bn934', 'bn935', 'bn936', 'bn937', 'bn938', 'bn939', 'bn940', 'bn941', 'bn942', 'bn943', 'bn944', 'bn945', 'bn946', 'bn947', 'bn948', 'bn949', 'bn950', 'bn951', 'bn952', 'bn953', 'bn954', 'bn955', 'bn956', 'bn957', 'bn958', 'bn959', 'bn960', 'bn961', 'bn962', 'bn963', 'bn964', 'bn965', 'bn966', 'bn967', 'bn968', 'bn969', 'bn970', 'bn971', 'bn972', 'bn973', 'bn974', 'bn975', 'bn976', 'bn977', 'bn978', 'bn979', 'bn980', 'bn981', 'bn982', 'bn983', 'bn984', 'bn985', 'bn986', 'bn987', 'bn988', 'bn989', 'bn990', 'bn991', 'bn992', 'bn993', 'bn994', 'bn995', 'bn996', 'bn997', 'bn998', 'bn999', 'bn1000', 'bn1001', 'bn1002', 'bn1003', 'bn1004', 'bn1005', 'bn1006', 'bn1007', 'bn1008', 'bn1009', 'bn1010', 'bn1011', 'bn1012', 'bn1013', 'bn1014', 'bn1015', 'bn1016', 'bn1017', 'bn1018', 'bn1019', 'bn1020', 'bn1021', 'bn1022', 'bn1023', 'bn1024']"
