dataset,eventId,log_sim,content,template
DATASET.Android,E10,"(0, 43, 41)","['acquire', ' ', 'lock', '=', '233570404', ',', '', ' ', 'flags', '=', '0x1', ',', '', ' ', 'tag', '=', '""View', ' ', 'Lock""', ',', '', ' ', 'name', '=', 'com.android.systemui', ',', '', ' ', 'ws', '=', 'null', ',', '', ' ', 'uid', '=', '10037', ',', '', ' ', 'pid', '=', '2227']","['acquire', ' ', 'lock', '=', '<*>', ',', '', ' ', 'flags', '=', '<*>', ',', '', ' ', 'tag', '=', '""<*>""', ',', '', ' ', 'name', '=', '<*>', ',', '', ' ', 'ws', '=', '<*>', ',', '', ' ', 'uid', '=', '<*>', ',', '', ' ', 'pid', '=', '<*>']"
DATASET.Android,E131,"(0, 23, 21)","['Skipping', ' ', 'AppWindowToken{df0798e', ' ', 'token', '=', 'Token{78af589', ' ', 'ActivityRecord{3b04890', ' ', 'u0', ' ', 'com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity', ' ', 't761}}}', ' ', '--', ' ', 'going', ' ', 'to', ' ', 'hide']","['Skipping', ' ', 'AppWindowToken{<*>', ' ', 'token', '=', 'Token{<*>', ' ', 'ActivityRecord{<*>', ' ', 'u0', ' ', '<*>}}}', ' ', '--', ' ', 'going', ' ', 'to', ' ', 'hide']"
DATASET.Android,E108,"(0, 43, 41)","['release', ':', 'lock', '=', '233570404', ',', '', ' ', 'flg', '=', '0x0', ',', '', ' ', 'tag', '=', '""View', ' ', 'Lock""', ',', '', ' ', 'name', '=', 'com.android.systemui""', ',', '', ' ', 'ws', '=', 'null', ',', '', ' ', 'uid', '=', '10037', ',', '', ' ', 'pid', '=', '2227']","['release', ':', 'lock', '=', '<*>', ',', '', ' ', 'flg', '=', '<*>', ',', '', ' ', 'tag', '=', '""<*>""', ',', '', ' ', 'name', '=', '<*>', ',', '', ' ', 'ws', '=', '<*>', ',', '', ' ', 'uid', '=', '<*>', ',', '', ' ', 'pid', '=', '<*>']"
DATASET.Android,E131,"(0, 23, 21)","['Skipping', ' ', 'AppWindowToken{df0798e', ' ', 'token', '=', 'Token{78af589', ' ', 'ActivityRecord{3b04890', ' ', 'u0', ' ', 'com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity', ' ', 't761}}}', ' ', '--', ' ', 'going', ' ', 'to', ' ', 'hide']","['Skipping', ' ', 'AppWindowToken{<*>', ' ', 'token', '=', 'Token{<*>', ' ', 'ActivityRecord{<*>', ' ', 'u0', ' ', '<*>}}}', ' ', '--', ' ', 'going', ' ', 'to', ' ', 'hide']"
DATASET.Android,E41,"(0, 59, 17)","['Destroying', ' ', 'surface', ' ', 'Surface', '(', 'name', '=', 'SurfaceView', ' ', '-', ' ', 'com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity', ')', '', ' ', 'called', ' ', 'by', ' ', 'com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked', ':', '942', ' ', 'com.android.server.wm.WindowManagerService.performDeferredDestroyWindow', ':', '3407', ' ', 'com.android.server.wm.Session.performDeferredDestroy', ':', '225', ' ', 'android.view.IWindowSession$Stub.onTransact', ':', '398', ' ', 'com.android.server.wm.Session.onTransact', ':', '136', ' ', 'android.os.Binder.execTransact', ':', '565', ' ', '<bottom', ' ', 'of', ' ', 'call', ' ', 'stack>', ' ', '<bottom', ' ', 'of', ' ', 'call', ' ', 'stack>']","['Destroying', ' ', 'surface', ' ', 'Surface', '(', 'name', '=', '<*>', ')', '', ' ', 'called', ' ', 'by', ' ', '<*>']"
DATASET.Android,E41,"(0, 47, 17)","['Destroying', ' ', 'surface', ' ', 'Surface', '(', 'name', '=', 'com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity', ')', '', ' ', 'called', ' ', 'by', ' ', 'com.android.server.wm.WindowStateAnimator.destroySurface', ':', '2060', ' ', 'com.android.server.wm.WindowStateAnimator.destroySurfaceLocked', ':', '913', ' ', 'com.android.server.wm.WindowState.destroyOrSaveSurface', ':', '2201', ' ', 'com.android.server.wm.WindowManagerService.tryStartExitingAnimation', ':', '3299', ' ', 'com.android.server.wm.WindowManagerService.relayoutWindow', ':', '3179', ' ', 'com.android.server.wm.Session.relayout', ':', '215', ' ', 'android.view.IWindowSession$Stub.onTransact', ':', '286', ' ', 'com.android.server.wm.Session.onTransact', ':', '136']","['Destroying', ' ', 'surface', ' ', 'Surface', '(', 'name', '=', '<*>', ')', '', ' ', 'called', ' ', 'by', ' ', '<*>']"
DATASET.Android,E131,"(0, 23, 21)","['Skipping', ' ', 'AppWindowToken{9f4ef63', ' ', 'token', '=', 'Token{a64f992', ' ', 'ActivityRecord{de9231d', ' ', 'u0', ' ', 'com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity', ' ', 't761}}}', ' ', '--', ' ', 'going', ' ', 'to', ' ', 'hide']","['Skipping', ' ', 'AppWindowToken{<*>', ' ', 'token', '=', 'Token{<*>', ' ', 'ActivityRecord{<*>', ' ', 'u0', ' ', '<*>}}}', ' ', '--', ' ', 'going', ' ', 'to', ' ', 'hide']"
DATASET.Android,E131,"(0, 23, 21)","['Skipping', ' ', 'AppWindowToken{9f4ef63', ' ', 'token', '=', 'Token{a64f992', ' ', 'ActivityRecord{de9231d', ' ', 'u0', ' ', 'com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity', ' ', 't761}}}', ' ', '--', ' ', 'going', ' ', 'to', ' ', 'hide']","['Skipping', ' ', 'AppWindowToken{<*>', ' ', 'token', '=', 'Token{<*>', ' ', 'ActivityRecord{<*>', ' ', 'u0', ' ', '<*>}}}', ' ', '--', ' ', 'going', ' ', 'to', ' ', 'hide']"
DATASET.Android,E41,"(0, 47, 17)","['Destroying', ' ', 'surface', ' ', 'Surface', '(', 'name', '=', 'com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity', ')', '', ' ', 'called', ' ', 'by', ' ', 'com.android.server.wm.WindowStateAnimator.destroySurface', ':', '2060', ' ', 'com.android.server.wm.WindowStateAnimator.destroySurfaceLocked', ':', '913', ' ', 'com.android.server.wm.WindowState.removeLocked', ':', '1554', ' ', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked', ':', '2739', ' ', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked', ':', '2702', ' ', 'com.android.server.wm.WindowManagerService.removeWindowLocked', ':', '2691', ' ', 'com.android.server.wm.WindowManagerService.removeWindowLocked', ':', '2560', ' ', 'com.android.server.wm.WindowManagerService.removeWindow', ':', '2555']","['Destroying', ' ', 'surface', ' ', 'Surface', '(', 'name', '=', '<*>', ')', '', ' ', 'called', ' ', 'by', ' ', '<*>']"
DATASET.Android,E136,"(0, 43, 31)","['Skipping', ',', '', ' ', 'withExcluded', ':', '', ' ', 'false', ',', '', ' ', 'tr.intent', ':', 'Intent', ' ', '{', ' ', 'flg', '=', '0x10804000', ' ', 'cmp', '=', 'com.android.systemui/.recents.RecentsActivity', ' ', 'bnds', '=', '', '[', '264', ',', '444', ']', '', '[', '920', ',', '908', ']', '', ' ', '}']","['Skipping', ',', '', ' ', 'withExcluded', ':', '', ' ', 'false', ',', '', ' ', 'tr.intent', ':', 'Intent', ' ', '{', ' ', 'flg', '=', '<*>', ' ', 'cmp', '=', '<*>', ' ', 'bnds', '=', '<*>', ' ', '}']"
